0 12 {'phi': 0.3650088097011089, 'p_value': 6.882274880008441e-07}
0 21 {'phi': 0.2532375831196339, 'p_value': 0.0005723208543775613}
0 23 {'phi': 0.3867655274641979, 'p_value': 1.4360177386634857e-07}
0 32 {'phi': 0.3058001207686486, 'p_value': 3.191806263346474e-05}
0 36 {'phi': -0.1976423537605237, 'p_value': 0.00718326222243284}
0 43 {'phi': -0.26120077441441353, 'p_value': 0.00038127783895999605}
0 52 {'phi': 0.4507159909062454, 'p_value': 8.765825855385583e-10}
0 62 {'phi': 0.2391308620450107, 'p_value': 0.0011438197018618754}
12 23 {'phi': 0.32899293226583065, 'p_value': 7.648728534070841e-06}
12 27 {'phi': 0.19094065395649334, 'p_value': 0.009402175523890879}
12 32 {'phi': 0.19150905441544855, 'p_value': 0.00919266274785862}
12 42 {'phi': 0.19094065395649334, 'p_value': 0.009402175523890879}
12 52 {'phi': 0.19604869692603596, 'p_value': 0.00766340762784379}
12 58 {'phi': 0.2245222158826273, 'p_value': 0.0022593834373861132}
12 62 {'phi': 0.21791466131164347, 'p_value': 0.003037079205837911}
12 65 {'phi': 0.19094065395649334, 'p_value': 0.009402175523890879}
21 14 {'phi': 0.30113249985228574, 'p_value': 4.206316364814086e-05}
21 23 {'phi': 0.28978227340740936, 'p_value': 8.098543816123074e-05}
21 32 {'phi': 0.3380018344697709, 'p_value': 4.279560005297258e-06}
21 36 {'phi': -0.23969749850222494, 'p_value': 0.00111318581194258}
21 43 {'phi': -0.21160515394261933, 'p_value': 0.004000259679758349}
21 44 {'phi': -0.20741349164936076, 'p_value': 0.004785503105878532}
21 59 {'phi': 0.30642420422521743, 'p_value': 3.0752692178877223e-05}
21 69 {'phi': -0.23531791785968525, 'p_value': 0.001371085952618631}
23 13 {'phi': 0.25555178885468166, 'p_value': 0.0005091798381337357}
23 14 {'phi': 0.23663660970777464, 'p_value': 0.0012881540886423147}
23 24 {'phi': 0.4289866997625916, 'p_value': 5.383899753841652e-09}
23 32 {'phi': 0.2798967646602711, 'p_value': 0.00014065843005319674}
23 43 {'phi': -0.3017478573730175, 'p_value': 4.0569078061077646e-05}
23 52 {'phi': 0.37717435138746486, 'p_value': 2.8954858224922694e-07}
23 59 {'phi': 0.265982089894897, 'p_value': 0.00029717804431559085}
23 62 {'phi': 0.2618696743990649, 'p_value': 0.0003683031689731559}
23 69 {'phi': -0.21180942970169947, 'p_value': 0.00396516632336298}
32 14 {'phi': 0.24239144624129458, 'p_value': 0.0009776522481469868}
32 24 {'phi': 0.24614222294873048, 'p_value': 0.0008142750744156049}
32 26 {'phi': -0.23931137750195872, 'p_value': 0.0011339769873046324}
32 36 {'phi': -0.2556502583772445, 'p_value': 0.0005066429573958411}
32 43 {'phi': -0.28727055813969127, 'p_value': 9.333245931567806e-05}
32 52 {'phi': 0.2559932978135702, 'p_value': 0.000497896928982454}
32 59 {'phi': 0.23616657559045603, 'p_value': 0.0013171681124597124}
32 62 {'phi': 0.21289036732831088, 'p_value': 0.0037840784398585014}
36 14 {'phi': -0.2106435333252841, 'p_value': 0.004169278577457699}
36 31 {'phi': 0.20908334939572668, 'p_value': 0.004457328338625869}
36 34 {'phi': 0.20440589021797076, 'p_value': 0.005432196804992024}
36 40 {'phi': -0.25251768687803794, 'p_value': 0.000593403080591157}
36 43 {'phi': 0.20106320282057286, 'p_value': 0.006242667893023569}
36 62 {'phi': -0.1972690911917593, 'p_value': 0.0072932330169013584}
36 63 {'phi': -0.22433161909252855, 'p_value': 0.0022789840480005566}
36 66 {'phi': -0.21821789023599236, 'p_value': 0.002996622321442774}
43 44 {'phi': 0.19810856102760846, 'p_value': 0.0070479996465768234}
43 48 {'phi': 0.2622470507242041, 'p_value': 0.0003611665212465234}
43 52 {'phi': -0.19899891696035182, 'p_value': 0.006796015921916455}
43 69 {'phi': 0.2862043731571452, 'p_value': 9.909370420821444e-05}
52 24 {'phi': 0.2624382618990991, 'p_value': 0.0003576000420158248}
52 59 {'phi': 0.214714967899532, 'p_value': 0.0034953827764963893}
62 7 {'phi': 0.23572535878407092, 'p_value': 0.0013449508727697334}
62 24 {'phi': 0.28804493772500533, 'p_value': 8.934792986294994e-05}
62 38 {'phi': 0.21795537750910163, 'p_value': 0.0030316180365549113}
62 66 {'phi': 0.1950188760864023, 'p_value': 0.00798878352697932}
1 2 {'phi': 0.21790557021013512, 'p_value': 0.00303829979898628}
1 5 {'phi': 0.2481817940513581, 'p_value': 0.000736449214817025}
1 45 {'phi': 0.3467629813249841, 'p_value': 2.3995232327229634e-06}
1 54 {'phi': 0.5742039227726821, 'p_value': 5.717994541484582e-15}
2 13 {'phi': 0.23982391982108323, 'p_value': 0.0011064554623152398}
2 15 {'phi': 0.1945571531388792, 'p_value': 0.008138642129281075}
2 24 {'phi': 0.21803810322318237, 'p_value': 0.0030205498057315604}
2 27 {'phi': 0.21790557021013512, 'p_value': 0.00303829979898628}
2 63 {'phi': 0.2772938384267547, 'p_value': 0.0001622015502782406}
2 66 {'phi': 0.24382219590982007, 'p_value': 0.0009120466236910668}
2 67 {'phi': 0.3090058465017692, 'p_value': 2.6347753654306687e-05}
5 26 {'phi': 0.3621313605800979, 'p_value': 8.413672521943481e-07}
54 20 {'phi': 0.32234432234432236, 'p_value': 1.1632897799014534e-05}
54 40 {'phi': 0.20532842792367906, 'p_value': 0.005225906784420462}
54 60 {'phi': 0.5742039227726821, 'p_value': 5.717994541484582e-15}
13 8 {'phi': 0.28689002564949, 'p_value': 9.535140983098691e-05}
13 50 {'phi': 0.257647021286177, 'p_value': 0.00045767459610405683}
13 63 {'phi': 0.25468294965785776, 'p_value': 0.0005320826157939492}
13 66 {'phi': 0.2040419089517262, 'p_value': 0.005515589541283321}
15 33 {'phi': 0.20440589021797073, 'p_value': 0.005432196804992025}
15 64 {'phi': 0.3438455756749531, 'p_value': 2.91378444292773e-06}
24 14 {'phi': 0.3310144786717721, 'p_value': 6.7227169718828445e-06}
24 63 {'phi': 0.229393570335935, 'p_value': 0.001807958636215592}
27 3 {'phi': 0.3467629813249841, 'p_value': 2.3995232327229634e-06}
27 29 {'phi': 0.2060171453597846, 'p_value': 0.005076544798769807}
27 53 {'phi': 0.7051826775351563, 'p_value': 8.679558386346183e-22}
27 67 {'phi': 0.7051826775351563, 'p_value': 8.679558386346183e-22}
63 7 {'phi': 0.19455024963408674, 'p_value': 0.00814090172312891}
63 14 {'phi': 0.32845143631215235, 'p_value': 7.916766857910274e-06}
63 66 {'phi': 0.28029639168091175, 'p_value': 0.0001375999097201797}
63 69 {'phi': -0.18947402282940243, 'p_value': 0.009962581977044917}
66 4 {'phi': 0.19094065395649332, 'p_value': 0.009402175523890879}
66 14 {'phi': 0.27156339681460795, 'p_value': 0.00022104798257875476}
66 38 {'phi': 0.18991970642445405, 'p_value': 0.009789216629647336}
67 3 {'phi': 0.2347548293241677, 'p_value': 0.0014079763764912633}
67 38 {'phi': 0.2347548293241677, 'p_value': 0.0014079763764912633}
67 53 {'phi': 0.49453551912568305, 'p_value': 1.7389979144856365e-11}
3 49 {'phi': 0.3467629813249841, 'p_value': 2.3995232327229634e-06}
3 53 {'phi': 0.2347548293241677, 'p_value': 0.0014079763764912633}
3 59 {'phi': -0.22080530724201122, 'p_value': 0.0026708931913103345}
53 37 {'phi': 0.49453551912568305, 'p_value': 1.7389979144856365e-11}
53 38 {'phi': 0.2347548293241677, 'p_value': 0.0014079763764912633}
53 39 {'phi': 0.49453551912568305, 'p_value': 1.7389979144856365e-11}
53 56 {'phi': 0.2532191499465226, 'p_value': 0.0005728518574331385}
59 44 {'phi': -0.25637460603131157, 'p_value': 0.0004883405205227421}
59 69 {'phi': -0.23328054783069455, 'p_value': 0.0015089409602864429}
4 26 {'phi': 0.24152294576982397, 'p_value': 0.0010195804221129587}
4 44 {'phi': -0.2644013603256262, 'p_value': 0.0003228408943785071}
