table_str,chi_stat,pval_exact,pval_asympt,diff
0_13_2_1,9.904761904761905,0.0062069999999999625,0.0016485165533331732,0.004558483446666789
10_1_5_0,0.48484848484848486,0.420909,0.48623432138829725,0.06532532138829727
6_1_6_3,0.761904761904762,0.46018800000000004,0.38273308888522595,0.0774549111147741
1_13_2_0,9.904761904761905,0.006333999999999951,0.0016485165533331732,0.004685483446666777
1_0_14_1,0.07111111111111111,0.41422800000000004,0.7897258209280503,0.3754978209280503
7_4_3_2,0.019393939393939394,0.91862,0.8892430182414511,0.02937698175854886
1_7_3_5,1.3333333333333333,0.310134,0.24821307898992026,0.06192092101007976
2_1_2_11,3.4188034188034186,0.058262000000000036,0.06445771827067583,0.00619571827067579
4_7_3_2,0.7803751803751804,0.43947,0.3770264208582479,0.06244357914175214
3_3_1_9,3.1999999999999997,0.08241900000000002,0.07363827012030258,0.008780729879697441
9_1_4_2,1.3401709401709403,0.29027400000000003,0.24700382482380684,0.04327017517619319
5_2_2_7,3.874023683547493,0.06743200000000005,0.04903882347748584,0.01839317652251421
4_1_4_7,2.618181818181818,0.12488600000000005,0.1056454292018764,0.01924057079812365
9_4_0_3,4.747252747252747,0.023831999999999964,0.029345108174841913,0.005513108174841949
2_8_4_2,3.4844444444444447,0.068187,0.061948151413481034,0.006238848586518964
10_5_0_1,1.777777777777778,0.12112,0.18242243945173192,0.061302439451731916
6_5_0_5,4.363636363636363,0.036580999999999975,0.036713856362704134,0.00013285636270415901
6_6_3_1,0.7619047619047619,0.480676,0.38273308888522595,0.09794291111477404
3_5_0_8,3.6923076923076925,0.05099699999999996,0.05466393589167511,0.0036669358916751535
1_12_1_2,1.4652014652014653,0.17523900000000003,0.2261043231478182,0.050865323147818164
2_13_1_0,4.622222222222222,0.043686,0.031560325038316045,0.012125674961683958
0_2_10_4,3.8095238095238093,0.03278199999999998,0.050961936967763424,0.018179936967763446
0_2_1_13,0.15238095238095237,0.46553100000000003,0.6962703401140227,0.23073934011402264
4_3_5_4,0.004031242126480221,0.939674,0.9493746789102278,0.009700678910227745
8_1_0_7,12.444444444444445,0.00012999999999996348,0.000419236969540987,0.00028923696954102354
4_9_0_3,1.2307692307692308,0.28783400000000003,0.2672574931543847,0.02057650684561535
2_0_0_14,16.0,0.005221999999999949,6.334248366623988e-05,0.005158657516333709
12_4_0_0,0,2,1,2
3_4_3_6,0.15238095238095237,0.752101,0.6962703401140227,0.05583065988597735
10_1_2_3,4.751515151515152,0.027773000000000048,0.02927250918630439,0.001499509186304343
4_2_5_5,0.42328042328042326,0.535979,0.5153046989675255,0.020674301032474474
0_4_0_12,0,2,1,2
0_0_2_14,0,2,1,2
11_0_5_0,0,2,1,2
0_7_3_6,2.871794871794872,0.09548299999999998,0.09014428622634844,0.0053387137736515405
1_5_6_4,2.8613756613756616,0.10798700000000006,0.09072987450335997,0.01725712549664009
1_8_4_3,3.8834054834054834,0.05377399999999999,0.04876554789362757,0.005008452106372421
7_4_4_1,0.4284297520661157,0.53156,0.5127604525094309,0.018799547490569113
2_9_3_2,2.79801652892562,0.10723800000000006,0.09438099773387366,0.012857002266126391
7_0_9_0,0,2,1,2
1_3_0_12,3.1999999999999997,0.059773999999999994,0.07363827012030258,0.013864270120302585
2_2_9_3,0.8727272727272727,0.391305,0.35020138917929555,0.04110361082070446
4_8_2_2,0.3555555555555555,0.637313,0.5509849875850935,0.08632801241490651
1_6_4_5,1.666955266955267,0.23914599999999997,0.19666684812735308,0.04247915187264689
